Name,Milkness,Strength,Sweetness,State
Kopi Di Lo Gah Dai Pua Sio,condensed milk,stronger,sweeter,lukewarm
Kopi O Di Lo Gah Dai Pua Sio,no milk,stronger,sweeter,lukewarm
Kopi C Di Lo Gah Dai Pua Sio,evaporated milk,stronger,sweeter,lukewarm
Kopi Peng,condensed milk,normal,half,iced
Kopi O Peng,no milk,normal,half,iced
Kopi C Peng,evaporated milk,normal,half,iced
Kopi Po Peng,condensed milk,weak,half,iced
Kopi O Po Peng,no milk,weak,half,iced
Kopi C Po Peng,evaporated milk,weak,half,iced
Kopi Gau Peng,condensed milk,strong,half,iced
Kopi O Gau Peng,no milk,strong,half,iced
Kopi C Gau Peng,evaporated milk,strong,half,iced
Kopi Di Lo Peng,condensed milk,stronger,half,iced
Kopi O Di Lo Peng,no milk,stronger,half,iced
Kopi C Di Lo Peng,evaporated milk,stronger,half,iced
Kopi Siu Dai Peng,condensed milk,normal,less sweet,iced
Kopi O Siu Dai Peng,no milk,normal,less sweet,iced
Kopi C Siu Dai Peng,evaporated milk,normal,less sweet,iced
Kopi Po Siu Dai Peng,condensed milk,weak,less sweet,iced
Kopi O Po Siu Dai Peng,no milk,weak,less sweet,iced
Kopi C Po Siu Dai Peng,evaporated milk,weak,less sweet,iced
Kopi Gau Siu Dai Peng,condensed milk,strong,less sweet,iced
Kopi O Gau Siu Dai Peng,no milk,strong,less sweet,iced
Kopi C Gau Siu Dai Peng,evaporated milk,strong,less sweet,iced
Kopi Di Lo Siu Dai Peng,condensed milk,stronger,less sweet,iced
Kopi O Di Lo Siu Dai Peng,no milk,stronger,less sweet,iced
Kopi C Di Lo Siu Dai Peng,evaporated milk,stronger,less sweet,iced
Kopi O Kosong Peng,no milk,normal,no sugar,iced
Kopi C Kosong Peng,evaporated milk,normal,no sugar,iced
Kopi O Po Kosong Peng,no milk,weak,no sugar,iced
Kopi C Po Kosong Peng,evaporated milk,weak,no sugar,iced
Kopi O Gau Kosong Peng,no milk,strong,no sugar,iced
Kopi C Gau Kosong Peng,evaporated milk,strong,no sugar,iced
Kopi O Di Lo Kosong Peng,no milk,stronger,no sugar,iced
Kopi C Di Lo Kosong Peng,evaporated milk,stronger,no sugar,iced
Kopi Gah Dai Peng,condensed milk,normal,sweeter,iced
Kopi O Gah Dai Peng,no milk,normal,sweeter,iced
Kopi C Gah Dai Peng,evaporated milk,normal,sweeter,iced
Kopi Po Gah Dai Peng,condensed milk,weak,sweeter,iced
Kopi O Po Gah Dai Peng,no milk,weak,sweeter,iced
Kopi C Po Gah Dai Peng,evaporated milk,weak,sweeter,iced
Kopi Gau Gah Dai Peng,condensed milk,strong,sweeter,iced
Kopi O Gau Gah Dai Peng,no milk,strong,sweeter,iced
Kopi C Gau Gah Dai Peng,evaporated milk,strong,sweeter,iced
Kopi Di Lo Gah Dai Peng,condensed milk,stronger,sweeter,iced
Kopi O Di Lo Gah Dai Peng,no milk,stronger,sweeter,iced
Kopi C Di Lo Gah Dai Peng,evaporated milk,stronger,sweeter,iced
